id,publishedAt,text
vk977,2019-03-09 14:54:53,"#объявадня 
Mitsubishi Lancer Evolution, 2000 год 
3 990 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/Qfg"
vk976,2019-03-09 20:09:46,Капремонт двигателя Жигулей превратили в душевное короткометражное кино. Смотреть обязательно со звуком.
vk975,2019-03-09 21:00:11,"Новейший Тойота Краун. Одна модель и три силовых агрегата на тест-драйве

Читайте на сайте: https://drom.ru/s/oLd"
vk974,2019-03-09 23:51:45,"Автопутешествие по Западной Украине на российских номерах

Читайте об этом автопутешествии по ссылке: https://drom.ru/s/lUk"
vk973,2019-03-10 17:14:18,"Фоторепортаж: 28-я Олдтаймер-галерея в Москве

Смотрите все фото: https://drom.ru/s/i6c"
vk972,2019-03-10 19:40:14,"#объявадня 
ЗАЗ Запорожец, 1987 год 
1 000 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/lTl"
vk971,2019-03-10 23:46:42,"Пешеход разыграл случайного водителя: во время перехода дороги он изобразил, что перешагивает через какое-то препятствие, чем немало озадачил автомобилиста."
vk970,2019-03-11 14:25:22,"Audi показала в Женеве закамуфлированный электрокар E-tron Sportback

Подробнее о новинке: https://drom.ru/s/Yts"
vk969,2019-03-11 15:30:02,"Воспоминания о перегонах начала 2000-х

Читайте по ссылке: https://drom.ru/s/vZJ"
vk968,2019-03-11 16:30:14,"Сколько спортивных Вест продали за первый месяц?

Смотрите ответ: https://drom.ru/s/dQV"
vk967,2019-03-11 17:54:32,"Топ-10 иномарок по скорости гниения

Смотрите список: https://drom.ru/s/B4H"
vk966,2019-03-11 20:20:57,"На загородной трассе под Владивостоком перевернулся ЗРПК «Панцирь-С»

Фото и подробности: https://drom.ru/s/nIH"
vk965,2019-03-11 22:51:08,"Кабриолет Volkswagen Beetle с автографом Путина передали на благотворительность

Подробнее: https://drom.ru/s/B34"
vk964,2019-03-11 23:30:02,"Tesla опубликовала изображение кроссовера Model Y

Подробнее: https://drom.ru/s/47m"
vk963,2019-03-11 23:59:00,В Харькове водитель трамвая нашла действенный метод борьбы с зацеперами.
vk962,2019-03-12 12:13:48,"Tesla повышает стоимость своих автомобилей

Подробнее: https://drom.ru/s/zja"
vk961,2019-03-12 13:41:38,"Обновлённая Hyundai Elantra: начались продажи в России

Подробнее: https://drom.ru/s/c5C"
vk960,2019-03-12 15:59:05,"Renault Duster для Индии обновят серьёзнее, чем для России 
 
Подробнее: https://drom.ru/s/RuJ"
vk959,2019-03-12 17:27:37,"Новая Гранта Спорт: сроки и планы

Читайте на сайте: https://drom.ru/s/j39"
vk958,2019-03-12 18:30:03,"#объявадня 
Nissan 350Z, 2005 год 
1 100 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/56l"
vk957,2019-03-12 20:54:15,"Как заработать на автомобиле: пять способов

Читайте по ссылке: https://drom.ru/s/jGD"
vk956,2019-03-12 22:50:29,"Acura обзаведется спортивным седаном и купеобразным кроссовером

Подробнее: https://drom.ru/s/mUG"
vk955,2019-03-12 23:50:32,Героическая буксировка автомобиля.
vk954,2019-03-13 12:59:18,"Чем Сердюков планировал заменить УАЗы в армии?

Смотрите фото редкого прототипа: https://drom.ru/s/c6y"
vk953,2019-03-13 14:01:19,"Депутаты предлагают отменить транспортный налог. Опять

Подробнее: https://drom.ru/s/ThE"
vk952,2019-03-13 15:40:27,"Ретротест VW Passat B2. Он всё ещё едет 120 км/ч!

Читайте на сайте: https://drom.ru/s/DTQ"
vk951,2019-03-13 16:41:48,"Mitsubishi Outlander 2018 года: почему этот автомобиль лучше Suzuki SХ-4, советы по общению с автодилерами и как наживаются страховые компании при ремонте по ОСАГо.

Читайте новый отзыв от автовладельца: https://drom.ru/s/dbg"
vk950,2019-03-13 17:24:12,"Сверхдлинные фургоны и микроавтобусы «ГАЗель Next» появилась в продаже

Цены, фото и подробности: https://drom.ru/s/bTu"
vk949,2019-03-13 18:30:03,"Русские мотоциклы УРАЛ в Японии: кто их покупает и сколько они стоят?

Смотрите новое видео на канале Drom Fun: https://drom.ru/s/N9U"
vk948,2019-03-13 19:30:02,"#объявадня 
BMW M2, 2016 год 
2 900 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/UUq"
vk947,2019-03-13 23:29:44,"Камера наружного наблюдения на одной из набережной в Китае запечатлела, как автомобиль удрал от хозяина, чтобы хорошенько помыться."
vk946,2019-03-14 13:12:49,"Это фиаско: Infiniti покидает рынки стран Западной Европы

Подробнее: https://drom.ru/s/mzE"
vk945,2019-03-14 14:34:33,"Toyota привезла в Россию внедорожники Land Cruiser 200 и Land Cruiser Prado в тюнинге TRD

Подробнее: https://drom.ru/s/mVi"
vk944,2019-03-14 15:23:13,"Всем старым машинам без ведома владельца присвоят экологический класс

Подробнее: https://drom.ru/s/EuQ"
vk943,2019-03-14 16:00:11,"У нового Chevrolet Corvette C8 под нагрузкой ведёт кузов

Подробнее: https://drom.ru/s/up7"
vk942,2019-03-14 16:52:14,"В Калуге наладят производство турбомоторов Volkswagen

Подробнее: https://drom.ru/s/6oH"
vk941,2019-03-14 18:00:11,"В поисках идеального кроссовера: Forester, X-Trail, Tucson 
 
Читайте на сайте: https://drom.ru/s/NgJ"
vk940,2019-03-14 19:00:12,"Mazda готовит сюрприз фанатам роторных двигателей

Подробнее: https://drom.ru/s/BCY"
vk939,2019-03-14 20:00:12,"#объявадня 
BMW i8, 2016 год 
4 890 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/qs7"
vk938,2019-03-14 22:52:47,"За отсутствие ОСАГО штраф будет приходить с каждой камеры, зафиксировавшей автомобиль

Подробнее: https://drom.ru/s/iLZ"
vk937,2019-03-14 23:45:00,"Тот случай, когда ДТП произошло буквально на ровном месте."
vk936,2019-03-15 13:46:35,"Opel рассказал, какие модели будет предлагать в России после возвращения

Подробнее: https://drom.ru/s/LQW"
vk935,2019-03-15 14:45:34,"ГАЗ знакомит дилеров с новым «Садко» Next. Скоро серия

Подробнее: https://drom.ru/s/tik"
vk934,2019-03-15 15:58:20,"Новая Tesla Model Y: линейка Теслы стала SEXY

Все подробности о новинке: https://drom.ru/s/Dj6"
vk933,2019-03-15 17:00:14,"Архангельск, Россия. Водитель машины, из которой сделана съемка, не скупится на выражения, но, в общем, его понять можно."
vk932,2019-03-15 18:00:09,"Блог Лада Веста Кросс. Не дождавшись ремонта после ДТП, попали в новое ? 
 
Читайте новый пост на сайте: https://drom.ru/s/XB2"
vk931,2019-03-15 19:00:13,"Skoda Kodiaq 2018 года: минусы конкурентов, выбор комплектации и почему система экстренного торможения может сыграть злую шутку.
 
Читайте новый отзыв от автовладельца: https://drom.ru/s/khk"
vk930,2019-03-15 20:00:12,"#объявадня 
Mercedes-Benz W140 S500 Guard, 1997 год 
1 100 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/HUT"
vk929,2019-03-16 15:43:58,"СМИ: под брендом Aurus выпустят ещё и вертолет

Подробнее: https://drom.ru/s/6Uz"
vk928,2019-03-16 16:30:02,"Турбированная версия Geely Atlas стоит меньше 1,5 млн рублей

Подробнее: https://drom.ru/s/HYA"
vk927,2019-03-16 17:30:27,"Топ-30 бестселлеров на крупнейших автомобильных рынках планеты

Смотрите список: https://drom.ru/s/15b"
vk926,2019-03-16 19:37:28,"Подсчитано количество «праворулек» в России

Смотрите ответ по ссылке: https://drom.ru/s/u9t"
vk925,2019-03-17 18:37:08,"Немцы о Ладе 4х4 Урбан: «двойка с минусом», но...

Читайте на сайте: https://drom.ru/s/FXx"
vk924,2019-03-17 19:59:07,Смотрите новый выпуск скетчей от ГвоздиШоу!
vk923,2019-03-17 20:34:00,Ну как мой конь 1975г
vk922,2019-03-17 21:57:01,Функция открытия багажника с ноги в немецкой и советской машинах.
vk921,2019-03-18 13:28:19,"В Москве открылся ещё один автомобильный музей 
 
Все фото смотрите по ссылке: https://drom.ru/s/GUK"
vk920,2019-03-18 14:30:02,"Лада Веста Кросс 2018 года: история покупки автомобиля для отца, низкопрофильная резина не для межсезонья и почему выбор машины похож на выбор жены.

Читайте новый отзыв от автовладельца: https://drom.ru/s/LD7"
vk919,2019-03-18 16:00:25,"Зачем покупать английский кроссовер, а не японский внедорожник? Тестируем новый Evoque

Читайте по ссылке: https://drom.ru/s/a6o"
vk918,2019-03-18 18:17:20,"Росгвардия испытывает Весты с тепловизорами

Подробнее: https://drom.ru/s/OKV"
vk917,2019-03-18 19:29:53,"В России подсчитали количество электромобилей

Ответ смотрите по ссылке: https://drom.ru/s/T5v"
vk916,2019-03-18 21:27:05,"Эксклюзив: план производства Lada Vesta на весь текущий год

Читайте на сайте: https://drom.ru/s/k0i"
vk915,2019-03-19 00:12:24,"Ещё один способ оперирования крышкой багажника ногой. На сей раз — более изящный, но и машина более современная — Веста."
vk914,2019-03-19 12:18:31,"ГЛОНАСС всё-таки следит: в России создадут систему «Автодата»

Подробнее: https://drom.ru/s/ojs"
vk913,2019-03-19 13:16:22,"Nissan Leaf стал первым электромобилем, преодолевшим рубеж в 400 000 экземпляров

Подробнее: https://drom.ru/s/tlz"
vk912,2019-03-19 15:07:17,"Nissan раскрыл цены обновлённого кроссовера Qashqai для России

Подробности по ссылке: https://drom.ru/s/jWQ"
vk911,2019-03-19 16:04:13,"#объявадня 
Chrysler New Yorker, 1956 год 
2 990 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/S2p"
vk910,2019-03-19 17:11:40,"На платных трассах в России стали часто сбивать шлагбаумы. «Автодор» грозит лишением прав

Подробнее: https://drom.ru/s/IH0"
vk909,2019-03-19 21:51:42,"В нашу предложку пришло вот такое сообщение: ""С мира по нитке. Собираю на стартап. Идея умный гараж для дешёвой аренды на короткое время. Иногда нужно обслужить автомобиль самому, но теплого гаража нет. Идея сделать решение для умного гаража. Сделал заказ, приехал, обслужил, уехал. Так же есть идея с хранением резины и велосипедов"".

Ссылку на сомнительный сбор средств мы публиковать не будем, конечно же, но ваше мнение о такой затее услышать хотели бы. Что думаете?"
vk908,2019-03-19 22:43:54,"12 типично женских ошибок за рулем

Читать: https://drom.ru/s/4MV"
vk907,2019-03-20 14:51:21,"Объявлены цены обновлённого седана Subaru Legacy

Подробнее: https://drom.ru/s/PGg"
vk906,2019-03-20 16:01:40,"Из «ГАЗели» Next сделали вездеход за 3,2 млн рублей

Подробнее об этом авто: https://drom.ru/s/GTh"
vk905,2019-03-20 17:11:01,"Honda Accord седьмого (CL/CM) и восьмого (CU/CW) поколений, 2002–2013 гг. Звучать по-своему!

Читайте на сайте: https://drom.ru/s/Jdv"
vk904,2019-03-20 18:35:11,"МВД предложило оснастить автобусы трёхточечными ремнями безопасности

Подробнее: https://drom.ru/s/UKN"
vk903,2019-03-20 20:20:53,"В России хотят запретить продажу топлива класса ниже «Евро-5»

Подробнее: https://drom.ru/s/UsR"
vk902,2019-03-20 22:04:30,"Трамвай в Токио — как это работает

Смотрите новое видео на канале Drom Fun: https://drom.ru/s/Hbr"
vk901,2019-03-20 23:00:12,"«После ДТП уехал своим ходом», — довольно распространённая формулировка при описании состояния автомобиля, пострадавшего в аварии. Однако «уехал своим ходом» вовсе не означает его хорошей сохранности."
vk900,2019-03-21 20:08:23,"Skoda Karoq будут выпускать в России. Где и когда?

 Есть ответ: https://drom.ru/s/Vyd"
vk899,2019-03-21 21:24:08,"Босс Cadillac обещает защищать новый мотор V8 от других брендов GM ценой собственной жизни

Подробнее: https://drom.ru/s/CuP"
vk898,2019-03-21 22:27:05,"Правительство хочет отказаться от контроля цен на бензин. Когда ждать подорожания?

Отвечаем: https://drom.ru/s/L4P"
vk897,2019-03-21 23:27:00,"Минэкономики предложило ослабить требования по локализации в автопроме

Подробнее: https://drom.ru/s/hKf"
vk896,2019-03-22 20:29:42,"Самые крутые авторынки России: репортаж из Грозного

Читайте на сайте: https://drom.ru/s/URk"
vk895,2019-03-22 21:37:31,"Австрийцы назвали Lada Vesta SW победителем конкурса экономичности

Подробнее: https://drom.ru/s/rq6"
vk894,2019-03-22 22:18:41,"Китайцы разработали водородный автомобиль с запасом хода 1000 км

Подробнее: https://drom.ru/s/3jW"
vk893,2019-03-23 16:25:31,"В России появился Haval H9 в новой комплектации. Он дороже, чем Toyota Prado

Подробнее: https://drom.ru/s/PV8"
vk892,2019-03-23 17:00:14,"Купеобразный кроссовер Porsche Cayenne Coupe стал ответом на BMW X6

Подробнее: https://drom.ru/s/1T5"
vk891,2019-03-24 15:33:17,"Самодельные автомобили в СССР: как и почему их появилось так много?

Читайте на сайте: https://drom.ru/s/z6w"
vk890,2019-03-24 17:00:58,"В Японии нашли старый украинский ЛуАЗ

Подробнее: https://drom.ru/s/ZKy"
vk889,2019-03-24 18:43:15,"Land Rover наконец-то засудил китайских «копипастеров» 
 
Подробнее: https://drom.ru/s/gC5"
vk888,2019-03-24 21:20:58,"Обновлённый гибрид BMW X1 удивит приличным запасом хода на электротяге

Подробнее: https://drom.ru/s/OMM"
vk887,2019-03-24 23:04:24,Механик в автомастерской решил разыграть своего коллегу; это первый после многочасового ремонта запуск двигателя.
vk886,2019-03-25 13:48:39,"Грузия. Сочиняя мечты

Читайте новые заметки о путешествии: https://drom.ru/s/6ts"
vk885,2019-03-25 15:00:10,"#объявадня 
Toyota Mark II, 1995 год 
1 550 550 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/bAm"
vk884,2019-03-25 16:09:35,"Обновлённый Nissan Qashqai. За что два миллиона?

Новый тест-драйв по ссылке: https://drom.ru/s/6qZ"
vk883,2019-03-25 17:11:24,"За скрутку пробега предложили сажать в тюрьму

Подробнее: https://drom.ru/s/xUx"
vk882,2019-03-25 21:21:35,"Volkswagen представил первые автомобили своего нового бренда Jetta

Подробнее: https://drom.ru/s/DhW"
vk881,2019-03-25 22:35:53,"Транспортный налог предложили привязать к массе автомобиля

Подробнее: https://drom.ru/s/SbH"
vk880,2019-03-25 23:26:37,"Лыжи, мотор и пропеллер — необычный способ передвижения в зимних условиях Салехарда."
vk879,2019-03-26 14:01:04,"План доработок Lada 4x4 («Нива») попал в СМИ 
 
Список изменений ищите на сайте: https://drom.ru/s/1zx"
vk878,2019-03-26 15:02:18,"Немец полвека ждёт от BMW извинений за дефектную окраску его машины

Подробнее: https://drom.ru/s/Xlr"
vk877,2019-03-26 16:38:18,"Mazda представила обновлённый кроссовер CX-9 в России: дешевле предшественника

Подробнее: https://drom.ru/s/uOP"
vk876,2019-03-26 18:30:34,"Изысканный и элегантный: GM опубликовал фото нового Buick LaCrosse

Все фото: https://drom.ru/s/ZM7"
vk875,2019-03-26 19:47:04,"Тестируем Mazda CX-9. Фейслифтинг без фейслифтинга

Читайте на сайте: https://drom.ru/s/Kmk"
vk874,2019-03-26 20:44:56,"Новая гоночная модель Ferrari P80/C создана в единственном экземпляре 
 
Подробнее об этом автомобиле: https://drom.ru/s/lpd"
vk873,2019-03-26 22:14:10,"Toyota начала серийное производство новой Супры

Подробнее: https://drom.ru/s/JQq"
vk872,2019-03-27 00:19:35,Север России: белый медведь перебегает дорогу-зимник словно заурядная кошка.
vk871,2019-03-27 12:30:58,"СМИ: легковые Ford прекратят выпускать в России летом

Подробнее: https://drom.ru/s/Mo1"
vk870,2019-03-27 14:08:00,"СПИК «АвтоВАЗа» предусматривает выпуск 26 новых моделей

Подробнее: https://drom.ru/s/bnn"
vk869,2019-03-27 15:00:11,"Toyota, Lamborghini и Michelin не хотят видеть русский Aurus в Европе

Подробнее о ситуации: https://drom.ru/s/1eR"
vk868,2019-03-27 16:31:57,"Kia Stinger 2018 года: выбор и особенности комплектации “Prestige“, оценка эксплуатации по десятибалльный шкале и почему Стингер является однозначным прорывом для Кореи.

Читайте новый отзыв от автовладельца: https://drom.ru/s/Gma"
vk867,2019-03-27 17:25:52,"Audi готовит серьёзного конкурента топ-версии Tesla Model 3

Подробнее: https://drom.ru/s/HWD"
vk866,2019-03-27 21:18:53,"«Зверь» Путина, или Кремль на колёсах. Что пишут про Aurus на Западе?

Читайте на сайте: https://drom.ru/s/Ndt"
vk865,2019-03-27 23:34:16,Что такое мастерство — демонстрирует оператор экскаватора.
vk864,2019-03-28 12:49:06,"Mitsubishi представила брутальную версию L200 (в духе Ford Raptor)

Подробнее: https://drom.ru/s/2CP"
vk863,2019-03-28 13:37:34,"Chevrolet Niva: в преддверии фейслифтинга?

Подробнее по ссылке: https://drom.ru/s/ESk"
vk862,2019-03-28 14:30:02,"СМИ: НАМИ построил парадные кабриолеты марки Aurus

Подробнее: https://drom.ru/s/eXK"
vk861,2019-03-28 15:33:59,"Jeep Grand Cherokee 2017 года: диковинный для российского жителя автомобиль, плюсы и минусы интерьера и почему это авто нельзя сравнивать с Тойотой Ленд Крузер.

Читайте новый отзыв от автовладельца: https://drom.ru/s/gYx"
vk860,2019-03-28 16:34:46,"Daimler AG испытывает на российском Дальнем Востоке грузовик с «вечным сцеплением»

Подробнее: https://drom.ru/s/RVD"
vk859,2019-03-28 20:51:03,"Блог УАЗ Патриот. С востока на юг: зимний перегон Патриота без «головы»
 
Читайте новый пост на сайте: https://drom.ru/s/Y55"
vk858,2019-03-28 22:13:09,"Подробно про мотоциклы URAL в Японии + обзор выставки Tokyo Motorcycle Show 2019
 
Смотрите новое видео на канале Drom Fun: https://drom.ru/s/FiB"
vk857,2019-03-28 23:09:51,"Авария на кольцевых гонках привела к тому, что болид лишился всех наружных кузовных панелей."
vk856,2019-03-29 12:52:05,"Aurus будет участвовать в гонках «24 часа Ле Мана», уже построен болид

Подробнее: https://drom.ru/s/sKo"
vk855,2019-03-29 14:00:22,"Концепт KIA Mohave Masterpiece намекнул на второе поколение рамного внедорожника

Подробнее: https://drom.ru/s/Qh5"
vk854,2019-03-29 15:40:27,"Как выглядит 16-летняя Corolla с пробегом 1 000 000 км

Фото и подробности: https://drom.ru/s/oO5"
vk853,2019-03-29 16:30:02,"#объявадня 
Subaru Impreza WRX STI, 2012 год 
1 800 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/dUX"
vk852,2019-03-29 17:30:03,"Как мы ездили на мега-грузовике за 42 000 000 руб.

Читайте на сайте: https://drom.ru/s/AKl"
vk851,2019-03-29 20:07:39,"Samsung представил перелицованную версию кроссовера Renault Arkana

Подробнее о новинке: https://drom.ru/s/GwJ"
vk850,2019-03-30 19:29:47,"Hyundai Sonata нового поколения получила турбомотор и гибридную версию

Подробнее: https://drom.ru/s/2F5"
vk849,2019-03-30 20:36:40,"«GM-АвтоВАЗ» представил штатную мультимедийную систему для Chevrolet Niva

Подробнее: https://drom.ru/s/ODM"
vk848,2019-03-31 01:07:53,"В Техасе (США) недалеко от границы с Мексикой полицейские подъехали к подозрительному пикапу Ford, стоявшему на обочине. Не успели они выйти из машины, чтобы поговорить с водителем пикапа, как тот дал по газам. Ну а вскоре вскрылась причина, почему он не хотел общаться с полицейскими — машина до отказа «набита» нелегалами из Мексики! Сколько их здесь?"
vk847,2019-03-31 10:45:29,
vk846,2019-03-31 16:23:29,"Первая в мире Toyota Supra нового поколения с мотором 2JZ-GTE уже дважды горела

Подробнее: https://drom.ru/s/4VX"
